fips,total_8_hour_outages,n_years_available,avg_customers_out,avg_customer_time_std,tot_po_yr
1001,3,3,308450,10,126
1003,2,2,190834,2,78
1005,3,1,147682,12,104
1007,10,3,171696,17,175
1009,12,3,306912,11,159
1011,5,3,49590,10,123
1013,6,3,165317,18,163
1015,7,3,943778,15,130
1017,3,3,75074,4,100
1021,6,3,684723,29,143
1025,3,3,240847,18,84
1027,6,3,154666,22,125
1029,15,3,279425,35,176
1031,3,3,72139,3,75
1037,10,3,285590,52,186
1039,4,1,185029,9,66
1041,5,3,40704,6,97
1045,2,3,120734,5,68
1047,3,3,744227,34,183
1051,5,3,567788,14,147
1053,2,3,212197,12,96
1055,6,2,255654,5,120
1057,8,3,105270,11,183
1059,0,1,22787,1,47
1061,3,3,162422,11,112
1063,2,3,17652,4,52
1065,5,3,48938,6,106
1067,4,3,122325,13,99
1069,3,3,524748,9,70
1073,10,3,1978137,5,125
1075,3,2,72638,9,96
1077,8,2,212238,4,84
1081,3,1,277876,3,87
1085,4,3,107874,19,169
1089,2,2,515794,2,85
1091,3,3,82873,8,106
1093,5,3,61558,4,123
1097,4,3,4537082,20,146
1099,4,3,175843,16,106
1101,3,3,666797,5,124
1105,8,3,148760,34,134
1107,5,3,118642,11,151
1111,8,3,266625,22,150
1113,3,3,100258,3,81
1117,6,3,1135231,10,122
1115,11,3,419556,9,153
1119,3,3,34346,5,104
1121,6,3,603687,14,139
1123,7,3,368384,16,166
1125,8,3,517791,5,136
1127,10,3,323605,9,218
1131,6,3,222103,41,168
1133,5,3,96070,7,178
2068,0,3,116,0,2
2240,1,3,16579,5,27
4001,1,3,51255,2,42
4012,0,3,1629,0,1
4015,1,3,72922,1,24
4017,1,3,119651,3,73
4025,3,2,410770,3,112
5001,14,3,351365,33,192
5003,8,3,210193,19,99
5005,3,3,93532,4,118
5007,1,3,531197,4,75
5009,4,3,77043,4,72
5011,6,3,81049,13,102
5013,6,3,60540,24,149
5015,1,3,31318,2,66
5017,7,3,121506,21,128
5019,7,3,244636,21,109
5023,1,3,20723,1,38
5029,3,3,51588,4,49
5033,6,3,143401,4,84
5035,4,3,92203,3,50
5037,6,1,90797,10,123
5039,12,2,184934,44,124
5041,6,3,102004,14,100
5043,8,3,228511,23,92
5045,1,1,104664,2,63
5047,4,3,48860,5,80
5049,4,3,41496,6,132
5051,10,3,348485,6,124
5053,7,3,126638,13,94
5055,0,3,19956,1,34
5057,8,2,86007,8,80
5059,10,2,388158,22,138
5061,2,2,8720,1,14
5063,3,3,95001,5,98
5067,4,2,43665,5,68
5069,18,3,907956,24,166
5071,7,3,82875,6,87
5075,3,3,47222,5,95
5077,6,3,40101,9,130
5081,4,3,37131,5,94
5083,5,3,47382,4,87
5085,6,3,181377,5,119
5087,1,3,31914,4,66
5091,5,3,117674,5,109
5093,6,2,114421,5,76
5095,7,3,63105,14,122
5097,5,2,57486,11,126
5099,6,3,61761,14,64
5103,10,3,452624,34,173
5105,1,3,32891,6,73
5107,8,3,203487,19,140
5109,7,2,126034,21,55
5111,3,3,71866,5,95
5113,1,3,11883,1,26
5115,4,1,172878,5,123
5117,8,3,80061,15,151
5119,12,3,1755118,8,131
5121,1,3,20212,2,30
5125,5,3,279761,5,101
5127,2,3,30205,6,74
5129,3,3,16924,4,59
5131,4,3,260773,4,67
5133,7,3,120160,15,124
5135,1,3,53746,5,140
5123,4,2,204542,16,130
5139,22,3,441949,20,251
5141,2,3,35872,4,91
5143,1,3,232558,2,64
5145,3,3,139834,3,99
5147,3,3,25013,6,76
5149,7,3,81730,8,120
6003,5,3,275,1,85
6007,10,2,996396,10,140
6009,13,3,436224,22,180
6017,13,3,1731819,20,175
6021,2,3,45919,4,102
6023,10,2,871666,14,192
6037,0,1,7815756,2,58
6039,5,2,278522,5,116
6041,6,2,1185126,9,110
6045,5,3,352321,9,162
6051,0,3,2196,0,3
6053,6,2,983536,6,150
6055,18,2,1375384,23,222
6057,12,2,1553474,32,195
6063,0,3,1162,0,2
6067,1,2,1237680,2,80
6079,2,2,325292,3,114
6081,5,2,1188202,4,102
6083,3,3,723548,4,197
6087,13,2,1416870,12,172
6089,12,2,1544277,18,124
6091,2,3,1107,1,9
6097,17,2,3866480,17,168
6103,6,3,542233,19,147
6109,8,3,488637,18,113
6111,2,3,1270652,4,201
6115,0,3,11794,0,0
8001,3,2,864996,4,78
8005,2,2,774602,2,92
8007,0,3,7803,1,12
8013,3,3,298045,2,67
8014,0,3,57631,2,29
8019,4,2,53224,9,100
8021,2,3,40384,10,38
8023,0,3,7242,4,25
8031,2,3,1361759,4,105
8035,2,2,217882,1,53
8039,1,1,21892,2,43
8045,1,1,77360,3,94
8059,4,2,960778,3,98
8067,1,1,42685,1,14
8075,2,2,28493,3,36
8077,1,3,116357,1,41
8085,4,1,20999,1,28
8093,2,2,56673,6,58
8097,0,1,50864,5,27
8105,1,3,18879,3,28
8111,0,1,24,0,6
8117,4,3,144790,10,98
8123,2,2,267506,2,88
9001,8,3,7551849,18,66
9003,4,3,4538813,11,49
9005,9,3,2062680,23,100
9007,7,3,1726819,21,86
9009,4,3,4865393,12,79
9011,5,3,1179786,9,65
9013,6,3,1179612,18,91
9015,10,3,1202944,22,105
10001,1,3,112164,1,45
10003,4,3,973082,3,64
10005,2,3,356684,3,92
11001,3,3,890152,3,90
12001,3,3,219576,2,74
12003,2,3,53622,5,93
12005,0,1,272730,3,132
12007,1,3,36534,3,78
12009,1,3,538642,2,105
12011,1,2,1853970,2,63
12013,0,3,32266,5,61
12015,2,2,243132,2,118
12017,3,3,237692,3,113
12019,1,3,291499,3,56
12021,2,2,487330,2,128
12023,2,3,133387,4,99
12027,0,3,39453,2,94
12029,1,3,35141,4,111
12031,0,3,458875,1,84
12033,1,1,281196,2,88
12035,0,1,102805,2,88
12041,2,3,55881,6,102
12045,4,3,188662,25,97
12047,2,3,71749,12,133
12049,0,2,42966,4,110
12051,0,2,65759,4,110
12053,1,3,198045,2,88
12057,0,2,1049642,1,91
12059,7,3,153280,16,125
12063,7,1,621985,27,116
12065,3,3,112842,14,152
12067,4,2,47872,17,184
12069,0,3,286344,2,83
12071,2,2,616637,2,86
12073,2,1,403239,3,111
12075,1,3,79374,4,114
12079,2,3,43650,5,119
12081,1,3,400458,2,107
12083,4,3,462308,2,119
12085,1,3,176375,2,92
12086,2,3,2561843,2,55
12087,0,3,175520,4,89
12089,2,3,118267,3,78
12091,1,1,202335,2,84
12093,0,2,59173,3,110
12097,0,2,2208785,15,52
12099,1,3,1357985,2,86
12101,1,3,460543,2,105
12105,0,2,363276,1,74
12107,2,3,101293,3,92
12113,0,1,120557,1,95
12115,1,3,411666,2,99
12117,2,3,388806,2,87
12109,1,3,202946,2,90
12111,0,3,212592,1,84
12119,1,3,98172,1,64
12121,5,3,159207,8,177
12123,2,3,51654,5,126
12125,1,3,17060,3,45
12127,2,3,465471,2,89
12129,5,3,366759,24,155
12131,2,3,295270,8,113
12133,0,1,30629,3,111
13001,2,2,88932,10,163
13003,1,3,22503,6,74
